"類別","日文","發音","英文翻譯","中文","例句"
"Lesson 14","話します","はなします","Speak, Talk","說話、談話","日本語で話します。"
"Lesson 14","見せます","みせます","Show","給～看","写真を見せてください。"
"Lesson 14","教えます","おしえます","Tell","告訴、告知","住所を教えてください。"
"Lesson 14","始めます","はじめます","Start, Begin","開始","授業を始めます。"
"Lesson 14","降ります","ふります","Rain","下（雨）","雨が降ります。"
"Lesson 14","名前","なまえ","Name","名字","名前を教えてください。"
"Lesson 14","住所","じゅうしょ","Address","地址","住所を書いてください。"
"Lesson 14","地図","ちず","Map","地圖","地図を見てください。"
"Lesson 14","塩","しお","Salt","鹽","塩を取ってください。"
"Lesson 14","砂糖","さとう","Sugar","糖","砂糖を取ってください。"
"Lesson 14","読み方","よみかた","Way of reading","讀法、讀音","この漢字の読み方を教えてください。"
"Lesson 14","ゆっくり","ゆっくり","Slowly, Leisurely","慢慢地","ゆっくり話してください。"
"Lesson 14","すぐ","すぐ","Immediately","馬上、立刻","すぐ来てください。"
"Lesson 14","また","また","Again","再、又","また来てください。"
"Lesson 14","あとで","あとで","Later","等一下、之後","あとで電話します。"
"Lesson 14","もう少し","もうすこし","Alittle more","再多一點","もう少しゆっくり話してください。"
"Lesson 14","まっすぐ","まっすぐ","Straight","直走、筆直","まっすぐ行ってください。"
"Lesson 14","お釣り","おつり","Change","找零","お釣りを取ってください。"
"Lesson 14","切符売り場","きっぷうりば","Ticket office, Ticket area","售票處","切符売り場はどこですか。"
"Lesson 14","自動券売機","じどうけんばいき","Ticket machine","自動售票機","自動券売機はあそこです。"
"Lesson 14","精算機","せいさんき","Fare adjustment machine","補票機","精算機はどこですか。"
"Lesson 14","改札口","かいさつぐち","Ticket barrier","剪票口","改札口はどこですか。"
"Lesson 14","出口","でぐち","Exit","出口","出口はどこですか。"
"Lesson 14","入口","いりぐち","Entrance","入口","入口はあそこです。"
"Lesson 14","東口","ひがしぐち","East exit","東口","東口はどこですか。"
"Lesson 14","西口","にしぐち","West exit","西口","西口はあそこです。"
"Lesson 14","南口","みなみぐち","South exit","南口","南口から出てください。"
"Lesson 14","北口","きたぐち","North exit","北口","北口はどこですか。"
"Lesson 14","中央口","ちゅうおうぐち","Central exit","中央口","中央口で待ってください。"
"Lesson 14","売店","ばいてん","Kiosk","小賣店","売店はどこですか。"
"Lesson 14","片道","かたみち","One way","單程","片道切符を一枚ください。"
"Lesson 14","往復","おうふく","Round trip","來回","往復切符を二枚ください。"
"Lesson 15","立ちます","たちます","Stand Up","站起來","立ってください。"
"Lesson 15","座ります","すわります","Sit Down","坐下","座ってください。"
"Lesson 15","使います","つかいます","Use","使用","はしを使って食べます。"
"Lesson 15","置きます","おきます","Put","放置、擺放","机の上に本を置きます。"
"Lesson 15","作ります","つくります","Make, Produce","製作、做","料理を作ります。"
"Lesson 15","売ります","うります","Sell","販賣、賣","この店で野菜を売っています。"
"Lesson 15","知ります","しります","Get to know","知道（得知）","名前を知りました。"
"Lesson 15","住みます","すみます","be going to live","住（將住）","大阪に住みます。"
"Lesson 15","研究します","けんきゅうします","do Research","做研究","大学で経済を研究します。"
"Lesson 15","知っています","しっています","Know","知道","ミラーさんを知っています。"
"Lesson 15","住んでいます","すんでいます","Live in a place","住在（某地）","東京に住んでいます。"
"Lesson 15","資料","しりょう","Materials, Data","資料","資料を見てください。"
"Lesson 15","時刻表","じこくひょう","Time Table","時刻表","時刻表を見てください。"
"Lesson 15","服","ふく","Clothes","衣服","新しい服を買います。"
"Lesson 15","製品","せいひん","Products","產品","この製品はどこで買えますか。"
"Lesson 15","専門","せんもん","Speciality","專業、專門","専門は何ですか。"
"Lesson 15","歯医者","はいしゃ","Dentist, Dentist's","牙醫","歯医者はどこですか。"
"Lesson 15","床屋","とこや","Barber","理髮店","床屋に行きます。"
"Lesson 15","独身","どくしん","Single, Unmarried","單身","まだ独身です。"
"Lesson 15","特に","とくに","Especially","特別、尤其","特に日本料理が好きです。"
"Lesson 15","思い出します","おもいだします","Remember","想起來","友達の名前を思い出します。"
"Lesson 15","会社員","かいしゃいん","Company Employee","公司職員","兄は会社員です。"
"Lesson 15","公務員","こうむいん","Civil Servant","公務員","父は公務員です。"
"Lesson 15","駅員","えきいん","Station Clerk","車站站員","駅員に聞いてください。"
"Lesson 15","銀行員","ぎんこういん","Bank Clerk","銀行行員","母は銀行員です。"
"Lesson 15","郵便局員","ゆうびんきょくいん","Postman","郵局員、郵差","郵便局員が来ました。"
"Lesson 15","店員","てんいん","Shop Clerk","店員","店員に聞きます。"
"Lesson 15","調理師","ちょうりし","Cook","廚師","兄は調理師です。"
"Lesson 15","理容師","りようし","Barber","理髮師","理容師になりたいです。"
"Lesson 15","美容師","びようし","Beautician","美容師","姉は美容師です。"
"Lesson 15","教師","きょうし","Teacher","教師","父は教師です。"
"Lesson 15","弁護士","べんごし","Lawyer","律師","弁護士を知っていますか。"
"Lesson 15","研究者","けんきゅうしゃ","Researcher","研究者","大学で研究者として働いています。"
"Lesson 15","医者","いしゃ","Doctor","醫生","母は医者です。"
"Lesson 15","看護婦","かんごふ","Nurse","護士","姉は看護婦です。"
"Lesson 15","運転手","うんてんしゅ","Driver","司機","バスの運転手を知っています。"
"Lesson 15","警察官","けいさつかん","Police","警察","警察官に聞きます。"
"Lesson 15","外交官","がいこうかん","Diplomat","外交官","外交官になりたいです。"
"Lesson 15","政治家","せいじか","Politician","政治家","有名な政治家を知っています。"
"Lesson 15","画家","がか","Painter","畫家","あの画家の絵が好きです。"
"Lesson 15","作家","さっか","Author","作家","好きな作家がいます。"
"Lesson 15","音楽家","おんがくか","Musician","音樂家","有名な音楽家を知っています。"
"Lesson 15","建築家","けんちくか","Architect","建築師","父は建築家です。"
"Lesson 15","歌手","かしゅ","Singer","歌手","好きな歌手がいます。"
"Lesson 15","俳優","はいゆう","Actor, Actress","演員","好きな俳優を知っています。"
"Lesson 16","乗ります","のります","Ride, get on","搭乘、上（車）","電車に乗ります。"
"Lesson 16","降ります","おります","Get off","下（車）","次の駅で降ります。"
"Lesson 16","乗り換えます","のりかえます","Change (Trains)","換乘","新宿で乗り換えます。"
"Lesson 16","浴びます","あびます","Take (a shower)","淋浴","毎朝シャワーを浴びます。"
"Lesson 16","入れます","いれます","Put in, Insert","放入","お金を入れます。"
"Lesson 16","出します","だします","Take out, withdraw","取出","お金を出します。"
"Lesson 16","入ります","はいります","Enter (a university)","進入（大學）","大学に入ります。"
"Lesson 16","出ます","でます","Graduate From","畢業、離開","大学を出ます。"
"Lesson 16","やめます","やめます","Quit or retire from, stop, give up","辭掉、放棄","仕事をやめます。"
"Lesson 16","押します","おします","Push, Press","按、推","ボタンを押してください。"
"Lesson 16","若い","わかい","Young","年輕的","あの先生は若いです。"
"Lesson 16","長い","ながい","Long","長的","この道は長いです。"
"Lesson 16","短い","みじかい","Short","短的","この鉛筆は短いです。"
"Lesson 16","明るい","あかるい","Bright, Light","明亮的","この部屋は明るいです。"
"Lesson 16","暗い","くらい","Dark","暗的","この部屋は暗いです。"
"Lesson 16","背が高い","せがたかい","Tall (referring to a person)","個子高","ミラーさんは背が高いです。"
"Lesson 16","頭がいい","あたまがいい","Clever, Smart","聰明","あの学生は頭がいいです。"
"Lesson 16","体","からだ","Body","身體","体が大きいです。"
"Lesson 16","頭","あたま","Head","頭","頭が痛いです。"
"Lesson 16","髪","かみ","Hair","頭髮","髪が長いです。"
"Lesson 16","顔","かお","Face","臉","顔が赤いです。"
"Lesson 16","目","め","Eye","眼睛","目が大きいです。"
"Lesson 16","耳","みみ","Ear","耳朵","耳が大きいです。"
"Lesson 16","口","くち","Mouth","嘴巴","口が小さいです。"
"Lesson 16","歯","は","Tooth","牙齒","歯が白いです。"
"Lesson 16","おなか","おなか","Stomach","肚子","おなかが痛いです。"
"Lesson 16","足","あし","Leg","腳、腿","足が長いです。"
"Lesson 16","緑","みどり","Green, Greenery","綠色、綠意","公園の緑がきれいです。"
"Lesson 16","｢お｣寺","「お」てら","Buddhist Temple","佛寺","お寺はどこですか。"
"Lesson 16","神社","じんじゃ","Shinto Shrine","神社","神社はお寺の近くです。"
"Lesson 16","留学生","りゅうがくせい","Foreign Student","留學生","留学生が大学にいます。"
"Lesson 16","まず","まず","First of All","首先","まずボタンを押してください。"
"Lesson 16","お引き出しですか。","おひきだしですか。","Are you making a withdrawal?","請問您要提款嗎？","お引き出しですか。"
"Lesson 16","次に","つぎに","Next (as in next step)","接下來","次に番号を押してください。"
"Lesson 16","お預け入れ","おあずけいれ","Deposit","存款","お預け入れをします。"
"Lesson 16","お振込み","おふりこみ","Payment","匯款","お振込みをします。"
"Lesson 16","お振り替え","おふりかえ","Transfer (Money)","轉帳","お振り替えをします。"
"Lesson 16","お引き出しですか。","おひきだしですか。","Withdrawal","提款","お引き出しをします。"
"Lesson 16","通帳記入","つうちょうきにゅう","Updating Passbook","存摺補登","通帳記入をします。"
"Lesson 16","残高照会","ざんだかしょうかい","Balance Inquiry","餘額查詢","残高照会をします。"
"Lesson 16","暗証番号","あんしょうばんごう","PIN (Personal Identification Number)","密碼","暗証番号を入れてください。"
"Lesson 17","覚えます","おぼえます","Memorize","背、記住","漢字を覚えます。"
"Lesson 17","忘れます","わすれます","Forget","忘記","宿題を忘れました。"
"Lesson 17","なくします","なくします","Lose","弄丟","鍵をなくしました。"
"Lesson 17","出します","だします","Hand in (a report)","繳交（報告）","レポートを出します。"
"Lesson 17","払います","はらいます","Pay","支付","お金を払います。"
"Lesson 17","返します","かえします","Give Back, Return","歸還","本を返します。"
"Lesson 17","出かけます","でかけます","Go out","外出","友達と出かけます。"
"Lesson 17","脱ぎます","ぬぎます","Take off (Clothes)","脫（衣服）","靴を脱いでください。"
"Lesson 17","持っていきます","もっていきます","Take (Something)","帶去","傘を持っていきます。"
"Lesson 17","持ってきます","もってきます","Bring (Something)","帶來","辞書を持ってきてください。"
"Lesson 17","心配します","しんぱいします","Worry","擔心","心配しないでください。"
"Lesson 17","残業します","ざんぎょうします","Work overtime","加班","今日は残業します。"
"Lesson 17","出張します","しゅっちょうします","Go on a Business trip","出差","来週大阪に出張します。"
"Lesson 17","大切「な」","たいせつ「な」","Important","重要的","この本は大切です。"
"Lesson 17","大丈夫「な」","だいじょうぶ「な」","All right","沒關係、沒問題","大丈夫ですか。"
"Lesson 17","危ない","あぶない","Dangerous","危險的","危ないですから、気をつけてください。"
"Lesson 17","問題","もんだい","Question, Problem, Trouble","問題","問題がありますか。"
"Lesson 17","答え","こたえ","Answer","答案、回答","答えを書いてください。"
"Lesson 17","禁煙","きんえん","No Smoking","禁菸","ここは禁煙です。"
"Lesson 17","保険証","ほけんしょう","Insurance Card","健保卡","保険証を持ってきてください。"
"Lesson 17","かぜ","かぜ","Cold, Flu","感冒","かぜをひきました。"
"Lesson 17","熱","ねつ","Fever","發燒","熱があります。"
"Lesson 17","病気","びょうき","Illness","生病","病気で会社を休みます。"
"Lesson 17","薬","くすり","Medicine","藥","薬を飲んでください。"
"Lesson 17","「お」ふろ","「お」ふろ","Bath","洗澡、浴缸","お風呂に入ります。"
"Lesson 17","上着","うわぎ","Jacket, Outerwear","外套","上着を脱いでください。"
"Lesson 17","下着","したぎ","Underwear","內衣","下着を持っていきます。"
"Lesson 17","どうしましたか。","どうしましたか。","What Seems to be the problem?","您怎麼了？","どうしましたか。"
"Lesson 17","頭が痛い","あたまがいたい","have a Headache","頭痛","頭が痛いです。"
"Lesson 17","おなかが痛い","おなかがいたい","have a Stomachache","肚子痛","おなかが痛いです。"
"Lesson 17","歯が痛い","はがいたい","have a Toothache","牙痛","歯が痛いです。"
"Lesson 17","熱がある","ねつがある","have a Fever","發燒","熱があります。"
"Lesson 17","せきが出る","せきがでる","have a Cough","咳嗽","せきが出ます。"
"Lesson 17","鼻水が出る","はなみずがでる","have a Runny Nose","流鼻水","鼻水が出ます。"
"Lesson 17","血が出る","ちがでる","Bleed","流血","血が出ています。"
"Lesson 17","吐き気がする","はきけがする","feel Nauseous","想吐、噁心","吐き気がします。"
"Lesson 17","寒気がする","さむけがする","feel a Chill","發冷、怕冷","寒気がします。"
"Lesson 17","下痢をする","げりをする","have Diarrhea","拉肚子","下痢をしています。"
"Lesson 17","便秘をする","べんびをする","be Constipated","便秘","便秘をしています。"
"Lesson 17","けがをする","けがをする","get Injured","受傷","けがをしました。"
"Lesson 17","やけどをする","やけどをする","Get Burnt","燙傷","やけどをしました。"
"Lesson 17","食欲がない","しょくよくがない","have No Appetite","沒有食慾","食欲がありません。"
"Lesson 17","肩がこる","かたがこる","feel Stiff in Shoulders","肩膀僵硬","肩がこります。"
"Lesson 17","体がだるい","からだがだるい","feel Weary","全身無力","体がだるいです。"
"Lesson 17","かゆい","かゆい","Itchy","癢的","体がかゆいです。"
"Lesson 17","かぜ","かぜ","Cold","感冒","かぜをひかないでください。"
"Lesson 17","盲腸","もうちょう","Appendicitis","盲腸炎","盲腸の手術をしました。"
"Lesson 17","ぎっくり腰","ぎっくりこし","Slipped Disk","閃到腰","ぎっくり腰になりました。"
"Lesson 17","ねんざ","ねんざ","Sprain","扭傷","足をねんざしました。"
"Lesson 17","骨折","こつせつ","Bone Fracture","骨折","足を骨折しました。"
"Lesson 17","二日酔い","ふつかよい","Hangover","宿醉","二日酔いで頭が痛いです。"
"Lesson 17","めまいがする","めまいがする","feel Dizzy","頭暈","めまいがします。"
"Lesson 18","できます","できます","Be able to, can","能夠、會","日本語が少し話せます。"
"Lesson 18","洗います","あらいます","Wash","洗","手を洗ってください。"
"Lesson 18","弾きます","ひきます","Play (instrument or piano)","彈奏（樂器）","ピアノを弾きます。"
"Lesson 18","歌います","うたいます","Sing","唱歌","歌を歌います。"
"Lesson 18","集めます","あつめます","Collect, Gather","收集","切手を集めます。"
"Lesson 18","捨てます","すてます","Throw away","丟棄","ごみを捨てます。"
"Lesson 18","換えます","かえます","Exchange, Change","更換","お金を換えます。"
"Lesson 18","運転します","うんてんします","Driving","開車","車を運転します。"
"Lesson 18","予約します","よやくします","Reserve, Book","預約","レストランを予約します。"
"Lesson 18","見学します","けんがくします","Visit some place for Study","參觀學習","工場を見学します。"
"Lesson 18","国際~","こくさい~","International ~","國際～","国際電話をかけます。"
"Lesson 18","現金","げんきん","Cash","現金","現金で払います。"
"Lesson 18","趣味","しゅみ","Hobby","興趣、嗜好","趣味は何ですか。"
"Lesson 18","日記","にっき","Diary","日記","毎日日記を書きます。"
"Lesson 18","「お」祈り","「お」いのり","Prayer","祈禱","毎朝お祈りをします。"
"Lesson 18","課長","かちょう","Section Chief","課長","課長はどこですか。"
"Lesson 18","部長","ぶちょう","Department Chief","部長","部長に報告します。"
"Lesson 18","社長","しゃちょう","President of a Company","社長、總裁","社長はどちらですか。"
"Lesson 18","どうぶつ","どうぶつ","Animal","動物","どうぶつが好きですか。"
"Lesson 18","馬","うま","Horse","馬","馬に乗ります。"
"Lesson 18","ぼくじょう","ぼくじょう","Ranch, Stock Farm","牧場","ぼくじょうで馬を見ます。"
"Lesson 18","ほんとうですか。","ほんとうですか。","Really?","真的嗎？","ほんとうですか。"
"Lesson 18","ぜひ","ぜひ","By all means","務必、一定","ぜひ来てください。"
"Lesson 18","飛ぶ","とぶ","Fly","飛","鳥が飛んでいます。"
"Lesson 18","跳ぶ","とぶ","Jump","跳躍","高く跳びます。"
"Lesson 18","登る","のぼる","Climb","攀爬","山に登ります。"
"Lesson 18","走る","はしる","Run","跑","毎朝公園を走ります。"
"Lesson 18","泳ぐ","およぐ","Swim","游泳","プールで泳ぎます。"
"Lesson 18","もぐる","もぐる","Dive","潛水","海にもぐります。"
"Lesson 18","飛び込む","とびこむ","Dive in to","跳入","プールに飛び込みます。"
"Lesson 18","逆立ちする","さかだちする","Stand upside down","倒立","逆立ちができます。"
"Lesson 18","はう","はう","Crawl","爬行","赤ちゃんがはっています。"
"Lesson 18","ける","ける","Kick","踢","ボールをけります。"
"Lesson 18","振る","ふる","Wave","揮動","手を振ります。"
"Lesson 18","投げる","なげる","Throw","丟、投","ボールを投げます。"
"Lesson 18","持ち上げる","もちあげる","Lift","舉起","重い物を持ち上げます。"
"Lesson 18","たたく","たたく","Pat","敲、拍","肩をたたきます。"
"Lesson 18","引く","ひく","Pull","拉","ドアを引きます。"
"Lesson 18","押す","おす","Push","推","ドアを押します。"
"Lesson 18","曲げる","まげる","Bend","彎曲","足を曲げます。"
"Lesson 18","伸ばす","のばす","Extend","伸展","足を伸ばします。"
"Lesson 18","転ぶ","ころぶ","Fall Down","跌倒","道で転びました。"
"Lesson 18","振り向く","ふりむく","Look Back","回頭看","名前を呼ばれて振り向きます。"
"Lesson 19","登ります","のぼります","Climb (a mountain)","攀登（山）","富士山に登ります。"
"Lesson 19","泊まります","とまります","Stay (at a hotel)","住宿","ホテルに泊まります。"
"Lesson 19","掃除します","そうじします","Clean (a room)","打掃","毎日部屋を掃除します。"
"Lesson 19","洗濯します","せんたくします","Wash (Clothes)","洗衣","週末に洗濯します。"
"Lesson 19","練習します","れんしゅうします","Practice","練習","毎日日本語を練習します。"
"Lesson 19","なります","なります","Become","成為、變成","春になりました。"
"Lesson 19","眠い","ねむい","Sleepy","想睡的","眠いですから、早く寝ます。"
"Lesson 19","強い","つよい","Strong","強的","この薬は強いです。"
"Lesson 19","弱い","よわい","Weak","弱的","体が弱いです。"
"Lesson 19","調子がいい","ちょうしがいい","Be in Good condition","狀況好","今日は体の調子がいいです。"
"Lesson 19","調子が悪い","ちょうしがわるい","Be in Bad condition","狀況不好","今日は体の調子が悪いです。"
"Lesson 19","調子","ちょうし","Condition","狀況、狀態","体の調子はどうですか。"
"Lesson 19","お茶","おちゃ","Tea Ceremony","茶道","お茶を習っています。"
"Lesson 19","一度","いちど","Once","一次","日本に一度行きました。"
"Lesson 19","一度も","いちども","Not Once, Never","一次也（沒有）","日本に一度も行ったことがありません。"
"Lesson 19","だんだん","だんだん","Gradually","漸漸地","だんだん日本語が上手になります。"
"Lesson 19","もうすぐ","もうすぐ","Soon","快要、即將","もうすぐ春になります。"
"Lesson 19","おかげさまで","おかげさまで","Thankyou (expressing gratitude for help)","託您的福","おかげさまで元気になりました。"
"Lesson 19","乾杯","かんぱい","Bottoms up/Cheers","乾杯","乾杯！"
"Lesson 20","要ります","いります","Need, Require (a passport)","需要","ビザが要りますか。"
"Lesson 20","調べます","しらべます","Check, Investigate","調查、查詢","インターネットで調べます。"
"Lesson 20","直します","なおします","Repair, Collect","修理、改正","車を直します。"
"Lesson 20","修理します","しゅうりします","Repair","修理","時計を修理します。"
"Lesson 20","電話します","でんわします","Phone","打電話","友達に電話します。"
"Lesson 20","僕","ぼく","Informal way of saying I (for men)","我（男性非正式）","僕は学生だよ。"
"Lesson 20","君","きみ","Informal way of saying you (for men)","你（男性非正式）","君は学生？"
"Lesson 20","～君","～くん","Informal way of saying Mr. (for men)","～君（男性非正式稱呼）","田中君はどこ？"
"Lesson 20","うん","うん","Informal way of saying Yes","嗯、對（非正式）","うん、そうだよ。"
"Lesson 20","ううん","ううん","Informal way of saying No","不（非正式）","ううん、違う。"
"Lesson 20","ことば","ことば","Word, Language","語言、詞語","日本語のことばを覚えます。"
"Lesson 20","物価","ぶっか","Commodity prices","物價","日本は物価が高いです。"
"Lesson 20","着物","きもの","Kimono","和服","着物を着ます。"
"Lesson 20","初め","はじめ","The beginning","開始、最初","初めは難しいです。"
"Lesson 20","終わり","おわり","The end","結束、最後","終わりに写真を撮ります。"
"Lesson 20","こっち","こっち","Informal of こちら","這邊（非正式）","こっちに来て。"
"Lesson 20","そっち","そっち","Informal of そちら","那邊（非正式）","そっちはどう？"
"Lesson 20","あっち","あっち","Informal of あちら","那邊（更遠，非正式）","あっちに行って。"
"Lesson 20","どっち","どっち","Informal of どちら","哪邊（非正式）","どっちがいい？"
"Lesson 20","この間","このあいだ","The other day","前幾天、上次","この間、映画を見ました。"
"Lesson 20","みんなで","みんなで","All together","大家一起","みんなで食事します。"
"Lesson 20","～けど","～けど","Informal of ~, but","～，但是（非正式）","行きたいけど、時間がない。"
"Lesson 21","思います","おもいます","Think","認為、覺得","日本語は難しいと思います。"
"Lesson 21","言います","いいます","Say","說","先生は何と言いましたか。"
"Lesson 21","足ります","たります","be enough, be sufficient","足夠","お金が足りません。"
"Lesson 21","勝ちます","かちます","Win","贏","試合に勝ちました。"
"Lesson 21","負けます","まけます","Lose","輸","試合に負けました。"
"Lesson 21","役に立ちます","やくにたちます","be useful","有用、有幫助","この辞書はとても役に立ちます。"
"Lesson 21","むだ「な」","むだ「な」","Wasteful","浪費的","時間をむだにしないでください。"
"Lesson 21","不便「な」","ふべん「な」","Inconvenient","不方便的","ここは交通が不便です。"
"Lesson 21","同じ","おなじ","The same","一樣的","同じ色が好きです。"
"Lesson 21","すごい","すごい","Great, Awful","厲害、好厲害","すごいですね。"
"Lesson 21","首相","しゅしょう","Prime minister","首相","首相は誰だと思いますか。"
"Lesson 21","大統領","だいとうりょう","President","總統","大統領は誰ですか。"
"Lesson 21","政治","せいじ","Politics","政治","政治に興味がありますか。"
"Lesson 21","試合","しあい","Game, Match","比賽","明日試合があります。"
"Lesson 21","意見","いけん","Opinion","意見","意見を言ってください。"
"Lesson 21","「お」話","「お」はなし","Speech, Story","話、故事","お話を聞かせてください。"
"Lesson 21","交通","こうつう","Transportation, Traffic","交通","この町は交通が便利です。"
"Lesson 21","最近","さいきん","Recently, these days","最近","最近忙しいです。"
"Lesson 21","だぶん","たぶん","Probably, perhaps, maybe","大概、也許","たぶん雨が降ると思います。"
"Lesson 21","きっと","きっと","Surely","一定","きっと大丈夫だと思います。"
"Lesson 21","ほんとうに","ほんとうに","Really?","真的","ほんとうに上手ですね。"
"Lesson 21","そんあに","そんなに","Not that much (used with negatives)","沒那麼（接否定）","そんなに難しくないと思います。"
"Lesson 21","国","くに","Nation","國家","どの国から来ましたか。"
"Lesson 22","着ます","きます","Put on (a shirt, etc)","穿（上衣）","シャツを着ます。"
"Lesson 22","はきます","はきます","Put on (shoes, trousers, etc)","穿（鞋、褲子）","靴をはきます。"
"Lesson 22","かぶります","かぶります","Put on (a hat, etc)","戴（帽子）","帽子をかぶります。"
"Lesson 22","かけます","かけます","Put on (glasses)","戴（眼鏡）","眼鏡をかけます。"
"Lesson 22","生まれます","うまれます","Be born","出生","東京で生まれました。"
"Lesson 22","帽子","ぼうし","Hat, cap","帽子","帽子をかぶっています。"
"Lesson 22","眼鏡","めがね","Glasses","眼鏡","眼鏡をかけている人は誰ですか。"
"Lesson 22","よく","よく","Often","經常","よく映画を見ます。"
"Lesson 22","おめでとうございます","おめでとうございます","Congratulations","恭喜、恭賀","おめでとうございます。"
"Lesson 22","家賃","やちん","House rent","房租","家賃は高いですか。"
"Lesson 22","和室","わしつ","Japanese style room","和式房間","和室がある家に住んでいます。"
"Lesson 22","押し入れ","おしいれ","Japanese style closet","壁橱（日式）","押し入れに布団があります。"
"Lesson 22","布団","ふとん","Japanese style mattress and quilt","棉被、床墊（日式）","布団を押し入れに入れます。"
"Lesson 22","上着","うわぎ","Jacket","外套、上衣","上着を着ています。"
"Lesson 22","手袋","てぶくろ","Gloves","手套","寒いから手袋をします。"
"Lesson 23","聞きます","ききます","Ask","詢問、問","道を聞きます。"
"Lesson 23","回します","まわします","Turn","轉動","つまみを右に回します。"
"Lesson 23","引きます","ひきます","Pull","拉","ドアを引いてください。"
"Lesson 23","変えます","かえます","Change","改變","チャンネルを変えます。"
"Lesson 23","触ります","さわります","Touch","觸摸","触らないでください。"
"Lesson 23","出ます","でます","Come out","出來","音が出ます。"
"Lesson 23","動きます","うごきます","Moving or working (like a watch)","運作、移動","時計が動いています。"
"Lesson 23","歩きます","あるきます","Walk","走路、步行","公園を歩きます。"
"Lesson 23","渡ります","わたります","Cross, pass [a bridge]","過（橋）、穿越","橋を渡ります。"
"Lesson 23","気をつけます","きをつけます","Pay attention, take care","注意、小心","車に気をつけてください。"
"Lesson 23","引っ越しします","ひっこしします","Move (from one house to another)","搬家","来月引っ越しします。"
"Lesson 23","電気屋","でんきや","Electric store, Electrician","電器行","電気屋はどこですか。"
"Lesson 23","音","おと","Sound","聲音","変な音がします。"
"Lesson 23","機械","きかい","Machine","機器","機械が動きません。"
"Lesson 23","つまみ","つまみ","Knob","旋鈕","つまみを右に回してください。"
"Lesson 23","故障","こしょう","Breakdown","故障","機械が故障しました。"
"Lesson 23","道","みち","Road, way","路、道路","この道をまっすぐ行ってください。"
"Lesson 23","交差点","こうさてん","Crossroad, crossing","十字路口","交差点を右に曲がります。"
"Lesson 23","信号","しんごう","Traffic light","紅綠燈","信号を渡ります。"
"Lesson 23","角","かど","Corner","轉角","角を左に曲がります。"
"Lesson 23","橋","はし","Bridge","橋","橋を渡ります。"
"Lesson 23","駐車場","ちゅうしゃじょう","Parking lot, car park","停車場","駐車場はどこですか。"
"Lesson 23","正月","しょうがつ","New year's Day","新年、元旦","正月に家族と旅行します。"
"Lesson 23","ごちそうさま","ごちそうさま","That was delicious","我吃飽了（飯後感謝語）","ごちそうさま。"
"Lesson 23","建物","たてもの","Building","建築物","あの建物は何ですか。"
"Lesson 23","外国人登録証","がいこくじんとうろくしょう","Alien Registration card","外國人登錄證","外国人登録証を持っています。"
"Lesson 23","歩道","ほどう","Sidewalk","人行道","歩道を歩いてください。"
"Lesson 23","車道","しゃどう","Road","車道","車道に出ないでください。"
"Lesson 23","高速道路","こうそくどうろ","Expressway, motorway","高速公路","高速道路で行きます。"
"Lesson 23","通り","とおり","Street","街道","この通りをまっすぐ行きます。"
"Lesson 23","横断歩道","おうだんほどう","Pedestrian Crossing","斑馬線","横断歩道を渡ります。"
"Lesson 23","歩道橋","ほどうきょう","Pedestrian Bridge","天橋","歩道橋を渡ります。"
"Lesson 23","信号","しんごう","Traffic light","紅綠燈","信号が赤です。"
"Lesson 23","坂","さか","Slope","坡道","この坂は急です。"
"Lesson 23","踏切","ふみきり","Railroad crossing","平交道","踏切に気をつけてください。"
"Lesson 23","止まれ","とまれ","Stop","停（交通標誌）","止まれの標識があります。"
"Lesson 23","進入禁止","しんにゅうきんし","No entry","禁止進入","進入禁止の標識があります。"
"Lesson 23","一方通行","いっぽうつうこう","One way","單行道","ここは一方通行です。"
"Lesson 23","駐車禁止","ちゅうしゃきんし","No parking","禁止停車","ここは駐車禁止です。"
"Lesson 23","右折禁止","うせつきんし","No turning right","禁止右轉","ここは右折禁止です。"
"Lesson 24","くれます","くれます","Give (me)","給（我）","友達が花をくれました。"
"Lesson 24","連れて行きます","つれていきます","Take (someone）","帶（某人）去","子どもを公園に連れて行きます。"
"Lesson 24","連れて来ます","つれてきます","Bring (someone)","帶（某人）來","友達を連れて来ます。"
"Lesson 24","送ります","おくります","Escort (someone), go with","陪送、護送","駅まで送ります。"
"Lesson 24","紹介します","しょうかいします","Introduce","介紹","友達を紹介します。"
"Lesson 24","案内します","あんないします","Show around, show the way","帶路、介紹","東京を案内します。"
"Lesson 24","説明します","せつめいします","Explain","說明、解釋","使い方を説明します。"
"Lesson 24","いれます","いれます","Make (coffee)","泡（咖啡）","コーヒーをいれます。"
"Lesson 24","おじいさん<br>おじいちゃん","おじいさん<br>おじいちゃん","Grandfather / Old man","（別人的）爺爺","おじいさんはお元気ですか。"
"Lesson 24","おばあさん<br>おばあちゃん","おばあさん<br>おばあちゃん","Grandmother/ Old woman","（別人的）奶奶","おばあさんはお元気ですか。"
"Lesson 24","準備","じゅんび","Preparation","準備","準備ができました。"
"Lesson 24","意味","いみ","Meaning","意思、含義","この言葉の意味は何ですか。"
"Lesson 24","お菓子","おかし","Candy, Snack","零食、點心","お菓子をくれました。"
"Lesson 24","全部","ぜんぶ","All","全部","全部説明します。"
"Lesson 24","自分で","じぶんで","By ones self","自己","自分で作りました。"
